name,address,city,state,phone,website,types,lead_score,priority,review_count,rating,on_ubereats,on_grubhub,contact_by_date,latitude,longitude,place_id
Safeway,"525 El Camino Real, Millbrae, CA 94030, USA",San Francisco,CA,(650) 652-3416,https://local.safeway.com/safeway/ca/millbrae/525-el-camino-real.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2140,4.1,True,False,2026-01-31,37.6033699,-122.3942131,ChIJ0XfB9KN3j4ARiy4PWu41ExA
Vons,"301 N Pass Ave, Burbank, CA 91505, USA",Los Angeles,CA,(818) 848-9542,https://local.vons.com/ca/burbank/301-n-pass-ave.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1141,4.2,True,False,2026-01-31,34.154867,-118.3465585,ChIJ9Zz8Vs2_woARaCJ2Q8gvygY
Vallarta Supermarkets,"8201 Topanga Canyon Blvd, Canoga Park, CA 91304, USA",Los Angeles,CA,(818) 444-5060,https://vallartasupermarkets.com/store-locations/CanogaPark-12,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1167,4.2,True,False,2026-01-31,34.2182708,-118.6073318,ChIJNawN4GCcwoARbSWRci0rhzc
Vons,"3650 S Bristol St, Santa Ana, CA 92704, USA",Los Angeles,CA,(714) 540-0510,https://local.vons.com/ca/santa-ana/3650-s-bristol-st.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1552,4.2,True,False,2026-01-31,33.6983107,-117.8870237,ChIJ-yzkICzf3IARk3Ith2yj1G0
Ralphs,"160 N Lake Ave, Pasadena, CA 91101, USA",Los Angeles,CA,(626) 793-7480,https://www.ralphs.com/stores/grocery/ca/pasadena/lake/703/00096?cid=loc_70300096_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1118,4.2,True,False,2026-01-31,34.1489613,-118.1312764,ChIJ-U_qDUPDwoAR7KxUK_89KBY
Ralphs,"2201 W Redondo Beach Blvd, Gardena, CA 90247, USA",Los Angeles,CA,(310) 538-9008,https://www.ralphs.com/stores/grocery/ca/gardena/gardena/703/00111?cid=loc_70300111_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,934,4.3,True,True,2026-01-31,33.8869831,-118.3184892,ChIJBdiDHJ61woARAlJOmomQZ50
Vons,"9860 National Blvd, Cheviot Hills, CA 90034, USA",Los Angeles,CA,(310) 836-4161,https://local.vons.com/ca/cheviot-hills/9860-national-blvd.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,975,4.2,True,False,2026-01-31,34.0302194,-118.4014345,ChIJob8Q_NK7woARWjmm9WZBRvQ
Vons,"2355 E Colorado Blvd, Pasadena, CA 91107, USA",Los Angeles,CA,(626) 744-2615,https://local.vons.com/ca/pasadena/2355-e-colorado-blvd.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1691,4.3,False,True,2026-01-31,34.1476373,-118.1021057,ChIJj-hCZ6jcwoARQcRVitcQPwc
Vallarta Supermarkets,"19725 Vanowen St, Winnetka, CA 91306, USA",Los Angeles,CA,(818) 716-5704,https://vallartasupermarkets.com/store-locations/Winnetka-24,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,560,4.0,True,True,2026-01-31,34.1950712,-118.5628365,ChIJe3K8POKbwoAR7D5aSD_vSiw
Jewel-Osco,"2940 N Ashland Ave, Chicago, IL 60657, USA",Chicago,IL,(773) 871-8242,https://local.jewelosco.com/il/chicago/2940-n-ashland-ave.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1436,4.2,False,True,2026-01-31,41.9353485,-87.67005920000001,ChIJ5Qmh3ffSD4gRu16ljKcINzw
Meijer,"130 S Gary Ave, Bloomingdale, IL 60108, USA",Chicago,IL,(630) 351-7600,https://www.meijer.com/shopping/store-locator/198.html?cmpid=LM:Web::::05112021::GoogleGrocery,"department_store,electronics_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2946,4.2,True,True,2026-01-31,41.9551636,-88.1221625,ChIJbXnJt7GrD4gRflUrqRxYWTg
Island Pacific Supermarket and Seafood weekly sale,"19691 Hesperian Blvd, Hayward, CA 94541, USA",San Francisco,CA,(510) 674-2871,https://islandpacificmarket.com/stores/hayward,"establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store,supermarket",100,Critical,1046,4.2,True,True,2026-01-31,37.6656818,-122.1202137,ChIJUds4qQWRj4ARncPqujhKmoU
Trader Joe's,"401 Bay St, San Francisco, CA 94133, USA",San Francisco,CA,(415) 351-1013,https://locations.traderjoes.com/ca/san-francisco/19/?utm_source=gmb&utm_medium=organic&utm_campaign=local,"establishment,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store,supermarket",100,Critical,1990,4.6,False,True,2026-01-31,37.8054852,-122.4137755,ChIJBU6MxOSAhYARYAZiSw44REU
Shop Rite Supermarket,"5800 Bancroft Ave, Oakland, CA 94605, USA",San Francisco,CA,(510) 632-5426,,"establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store,supermarket",100,Critical,1220,4.2,False,True,2026-01-31,37.7714357,-122.1925461,ChIJqTIVQAyGj4ARLQojHD1cPEU
Seafood City Supermarket,"31840 Alvarado Blvd, Union City, CA 94587, USA",San Francisco,CA,(510) 429-8739,http://www.seafoodcity.com/,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store",100,Critical,1227,4.0,True,False,2026-01-31,37.5914344,-122.069758,ChIJ4WfBNuiVj4ARYL8HyJw9Jt8
Chavez Supermarket,"24601 Mission Blvd, Hayward, CA 94544, USA",San Francisco,CA,(510) 888-9878,http://www.chavezsuper.com/,"bakery,establishment,finance,food,grocery_or_supermarket,point_of_interest,restaurant,store,supermarket",100,Critical,1484,4.1,True,False,2026-01-31,37.66261069999999,-122.0762823,ChIJ8TORlOaTj4ARN7T_gCgjSCE
Seafood City Supermarket,"3573 Callan Blvd, South San Francisco, CA 94080, USA",San Francisco,CA,(650) 243-6100,http://www.seafoodcity.com/,"establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store,supermarket",100,Critical,1093,4.2,True,False,2026-01-31,37.6435928,-122.4635036,ChIJGUopVjN6j4ARW0V5k0u0iGE
Jewel-Osco,"2485 Howard St, Evanston, IL 60202, USA",Chicago,IL,(847) 328-9791,https://local.jewelosco.com/il/evanston/2485-howard-st.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2001,4.3,True,True,2026-01-31,42.0210557,-87.70803090000001,ChIJHYeFSszPD4gRvsK6iy0XzLw
Safeway,"5720 Nave Dr, Novato, CA 94949, USA",San Francisco,CA,(415) 881-9256,https://local.safeway.com/safeway/ca/novato/5720-nave-dr.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1248,4.1,False,True,2026-01-31,38.0623833,-122.5322898,ChIJ9TE8MsqihYAR1EnOvSNfI0I
Safeway,"950 Las Gallinas Ave, San Rafael, CA 94903, USA",San Francisco,CA,(415) 479-6111,https://local.safeway.com/safeway/ca/san-rafael/950-las-gallinas-ave.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1131,4.0,False,True,2026-01-31,38.0084526,-122.5483301,ChIJvSijBJCXhYARnRb6FBezFoE
Grocery Outlet,"2900 Broadway, Oakland, CA 94611, USA",San Francisco,CA,(510) 465-5649,https://www.groceryoutlet.com/circulars/storeid/3,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2600,4.4,True,True,2026-01-31,37.81750299999999,-122.2614095,ChIJl08tVVSHj4ARrjNg_0LOCjc
Grocery Outlet,"1833 Broadway, Redwood City, CA 94063, USA",San Francisco,CA,(650) 364-7406,https://www.groceryoutlet.com/circulars/storeid/4,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1393,4.4,True,True,2026-01-31,37.4863817,-122.2246999,ChIJORAWDwqjj4AR8MHLHMkuzpU
Chavez Supermarket,"500 S Norfolk St, San Mateo, CA 94401, USA",San Francisco,CA,(650) 781-3950,http://www.chavezsuper.com/,"bakery,establishment,finance,food,grocery_or_supermarket,point_of_interest,restaurant,store,supermarket",100,Critical,966,4.1,False,True,2026-01-31,37.571133,-122.3104416,ChIJjxM6V4eej4ARJx7k-ijXwqs
Grocery Outlet,"1245 S Van Ness Ave, San Francisco, CA 94110, USA",San Francisco,CA,(415) 872-7170,https://www.groceryoutlet.com/circulars/storeid/306,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1906,4.5,True,True,2026-01-31,37.7530692,-122.4159954,ChIJVee9dkd-j4ARl0zJ7JCZ8pk
Trader Joe's,"3250 Lakeshore Ave, Oakland, CA 94610, USA",San Francisco,CA,(510) 238-9076,https://locations.traderjoes.com/ca/oakland/203/?utm_source=gmb&utm_medium=organic&utm_campaign=local,"establishment,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store,supermarket",100,Critical,2345,4.4,True,False,2026-01-31,37.8099731,-122.2443809,ChIJlwZhkUGHj4ARgNaadWHN7tc
Seafood City Supermarket,"3495 Sonoma Blvd, Vallejo, CA 94590, USA",San Francisco,CA,(707) 654-1972,https://www.seafoodcity.com/store-locations/northern-california/,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store",100,Critical,1593,4.0,True,True,2026-01-31,38.1224406,-122.2580777,ChIJa-359FFzhYAR6UyYw8nmlFo
Seafood City Supermarket,"2030 Diamond Blvd, Concord, CA 94520, USA",San Francisco,CA,(925) 771-2470,http://www.seafoodcity.com/,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store",100,Critical,746,4.1,True,False,2026-01-31,37.9736494,-122.0555524,ChIJYwS3rsZmhYARbA-f-qIrYqg
Jewel-Osco,"11730 S Marshfield Ave, Chicago, IL 60643, USA",Chicago,IL,(773) 568-8157,https://local.jewelosco.com/il/chicago/11730-s-marshfield-ave.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1919,4.1,False,True,2026-01-31,41.6802451,-87.6645535,ChIJi7kZcPQkDogRj56B7FtyjUs
Ralphs,"650 E Carson St, Carson, CA 90745, USA",Los Angeles,CA,(310) 518-4191,https://www.ralphs.com/stores/grocery/ca/carson/avalon-carson/703/00256?cid=loc_70300256_gmb,"bakery,establishment,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,604,4.2,False,True,2026-01-31,33.8303777,-118.2643971,ChIJlalvqRA13YAR2CTD1VUwhFI
Ralphs,"11361 National Blvd, Los Angeles, CA 90064, USA",Los Angeles,CA,(310) 479-4351,https://www.ralphs.com/stores/grocery/ca/los-angeles/westdale-s-c/703/00709?cid=loc_70300709_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,660,4.1,True,False,2026-01-31,34.0260615,-118.4333132,ChIJDQE3A6y7woAR4hKGnZTA8yM
ShopRite of Livingston,"483 S Livingston Ave, Livingston, NJ 07039, USA",New York,NY,(973) 740-2004,https://www.shoprite.com/?utm_source=GMB&utm_medium=Local_Search&utm_campaign=dbaPlatform&utm_term=247,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1899,4.3,True,False,2026-01-31,40.7749163,-74.3216291,ChIJuctf_lqpw4kR5VhKDdnwRJY
Stop & Shop,"653 Hillside Ave., New Hyde Park, NY 11040, USA",New York,NY,(516) 616-9170,https://stores.stopandshop.com/ny/new-hyde-park/653-hillside-avenue?y_source=1_NDE5NTc2NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"establishment,food,grocery_or_supermarket,point_of_interest,store",100,Critical,2638,4.3,False,True,2026-01-31,40.7414369,-73.6987705,ChIJq5MRsoliwokRiGncxBlgA3Q
Wegmans,"106 Corporate Park Dr, Harrison, NY 10604, USA",New York,NY,(914) 539-3700,https://www.wegmans.com/stores/harrison-ny/?cid=GMB_Wegmans_2024:aw:ow:gb:gb:ao::,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2222,4.6,True,False,2026-01-31,41.02032,-73.7175906,ChIJ-70bhdOXwokR9ijzkOOba_w
ShopRite of New Hyde Park,"2335 New Hyde Park Rd, New Hyde Park, NY 11042, USA",New York,NY,(516) 352-1603,https://www.shoprite.com/?utm_source=GMB&utm_medium=Local_Search&utm_campaign=dbaPlatform&utm_term=812,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2814,4.3,True,False,2026-01-31,40.7578125,-73.6900673,ChIJDd5BSS-IwokRTdrvAhNiyrM
Stew Leonard's,"1 Stew Leonard Dr, Yonkers, NY 10710, USA",New York,NY,(914) 375-4700,https://stewleonards.com/stew-leonards-locations/yonkers-store/,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store,supermarket",100,Critical,4293,4.6,True,False,2026-01-31,40.9737483,-73.8645107,ChIJKa5YDCDtwokRd7a-0kohmAs
Wegmans,"15 Woodbridge Center Dr, Woodbridge, NJ 07095, USA",New York,NY,(732) 596-3200,https://www.wegmans.com/stores/woodbridge-nj/?cid=GMB_Wegmans_2024:aw:ow:gb:gb:ao::,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,4383,4.6,True,True,2026-01-31,40.5482362,-74.2966338,ChIJSaaE8cS1w4kR7qtfUFu3PpU
"ShopRite of Newark, NJ","206 Springfield Ave, Newark, NJ 07103, USA",New York,NY,(973) 273-1060,https://www.shoprite.com/?utm_source=GMB&utm_medium=Local_Search&utm_campaign=dbaPlatform&utm_term=216,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,7731,4.2,False,True,2026-01-31,40.7366424,-74.1861976,ChIJkddHnGVTwokRxgj9b9VBKaY
Trader Joe's,"425 S Oyster Bay Rd, Plainview, NY 11803, USA",New York,NY,(516) 933-6900,https://locations.traderjoes.com/ny/plainview/555/?utm_source=gmb&utm_medium=organic&utm_campaign=local,"establishment,food,grocery_or_supermarket,health,point_of_interest,store,supermarket",100,Critical,1963,4.6,False,True,2026-01-31,40.7815407,-73.5014915,ChIJ-6vmBKOBwokRfspxeJIndSY
Super Foodtown of Bloomfield,"296 Glenwood Ave, Bloomfield, NJ 07003, USA",New York,NY,(973) 259-9900,https://shop.foodtown.com/,"establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1635,4.2,True,False,2026-01-31,40.7927259,-74.1987524,ChIJM88eoSNVwokRKIe8bbWaCTA
ShopRite of Norwalk,"360 Connecticut Ave, Norwalk, CT 06854, USA",New York,NY,(203) 838-0504,https://www.shoprite.com/?utm_source=GMB&utm_medium=Local_Search&utm_campaign=dbaPlatform&utm_term=394,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2245,4.3,True,True,2026-01-31,41.1024779,-73.44022629999999,ChIJ1zlqG3Me6IkRQ1yxV9vbFCw
Uncle Giuseppe's Marketplace,"10 Triangle Plaza, Ramsey, NJ 07446, USA",New York,NY,(201) 995-6800,https://order.uncleg.com/s/1000-1040/,"establishment,food,grocery_or_supermarket,point_of_interest,store",100,Critical,3415,4.6,True,False,2026-01-31,41.0630344,-74.1230784,ChIJ86D82LLmwokRSAbiSAK6r_Y
"ShopRite of Commerce St.-Stamford, CT","1990 W Main St, Stamford, CT 06902, USA",New York,NY,(203) 978-0464,https://www.shoprite.com/?utm_source=GMB&utm_medium=Local_Search&utm_campaign=dbaPlatform&utm_term=397,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1862,4.4,True,False,2026-01-31,41.0474019,-73.5649493,ChIJDX7LLqqYwokRAWxgjxLhu78
Stop & Shop,"134-40 Springfield Blvd, Springfield Gardens, NY 11413, USA",New York,NY,(718) 525-0600,https://stores.stopandshop.com/ny/springfield-gardens/134-40-springfield-blvd?y_source=1_NDE5NTM1OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"establishment,food,grocery_or_supermarket,point_of_interest,store",100,Critical,3184,4.0,False,True,2026-01-31,40.6795518,-73.75567319999999,ChIJ4aZGVqRmwokRAMZLEay0gpc
ACME Markets,"2160 Lemoine Ave, Fort Lee, NJ 07024, USA",New York,NY,(201) 944-1145,https://local.acmemarkets.com/nj/fort-lee/2160-lemoine-ave.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1329,4.0,True,True,2026-01-31,40.8561878,-73.9650974,ChIJUcPHVMH2wokRAbMo-nSGskQ
Twin City Supermarket - Elizabeth NJ,"1016 Sherman Ave, Elizabeth, NJ 07208, USA",New York,NY,(908) 558-1166,http://twincitysupermarkets.com/,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2453,4.2,True,False,2026-01-31,40.6869691,-74.20628479999999,ChIJR94sBbhSwokRbes1Ksoo6kE
Stop & Shop,"8 Franklin St, Bloomfield, NJ 07003, USA",New York,NY,(973) 743-6413,https://stores.stopandshop.com/nj/bloomfield/8-franklin-street?y_source=1_NDE5NTgxMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"establishment,food,grocery_or_supermarket,point_of_interest,store",100,Critical,2780,4.1,False,True,2026-01-31,40.7828446,-74.1847569,ChIJJ8dQkOJUwokR1uK35DT6Sbo
Key Food Supermarkets,"656 Castle Hill Ave, Bronx, NY 10473, USA",New York,NY,(718) 824-3666,http://keyfood.com/,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,545,4.0,True,False,2026-01-31,40.8201256,-73.8479085,ChIJd5UCUdH0wokR2UXWj7TSujY
Walmart,"2465 Hempstead Tpke, East Meadow, NY 11554, USA",New York,NY,(516) 579-3307,https://www.walmart.com/store/2916-east-meadow-ny?veh=seo_loc,"clothing_store,department_store,electronics_store,establishment,food,furniture_store,grocery_or_supermarket,hardware_store,home_goods_store,point_of_interest,store",100,Critical,5881,4.1,True,False,2026-01-31,40.7265527,-73.54426629999999,ChIJ9eZOeRx-wokRvnC9WaUITyE
Ralphs,"7221 Woodman Ave, Van Nuys, CA 91405, USA",Los Angeles,CA,(818) 785-3162,https://www.ralphs.com/stores/grocery/ca/van-nuys/sherman-way/703/00047?cid=loc_70300047_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1359,4.1,True,True,2026-01-31,34.2019865,-118.4322132,ChIJ-3iY9OaWwoARKcufyacoYlI
ACME Markets,"75 Mayhill St, Saddle Brook, NJ 07663, USA",New York,NY,(201) 712-1130,https://local.acmemarkets.com/nj/saddle-brook/75-mayhill-st.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1050,4.0,True,True,2026-01-31,40.8992008,-74.09238479999999,ChIJn6MQ0cT7wokRkTNfRKh6WX0
Ralphs,"211 N Glendale Ave, Glendale, CA 91206, USA",Los Angeles,CA,(818) 549-0035,https://www.ralphs.com/stores/grocery/ca/glendale/glendale-wilson/703/00134?cid=loc_70300134_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,662,4.2,True,False,2026-01-31,34.1484897,-118.2484205,ChIJf9t8darBwoARUZ9pjFi_rPI
Ralphs,"670 S Western Ave, Los Angeles, CA 90005, USA",Los Angeles,CA,(213) 383-5058,https://www.ralphs.com/stores/grocery/ca/los-angeles/wiltern/703/00016?cid=loc_70300016_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1741,4.1,True,False,2026-01-31,34.0600458,-118.3085512,ChIJaz46A4W4woARM1iwC0URPD0
Ralphs,"1435 W Chapman Ave, Orange, CA 92868, USA",Los Angeles,CA,(714) 634-2905,https://www.ralphs.com/stores/grocery/ca/orange/chapman-main-center/703/00008?cid=loc_70300008_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1098,4.2,False,True,2026-01-31,33.7888847,-117.8683236,ChIJOQg7u9fZ3IARrM4R0ESLupc
Pavilions,"14845 Ventura Blvd, Sherman Oaks, CA 91403, USA",Los Angeles,CA,(818) 922-6890,https://local.pavilions.com/ca/sherman-oaks/14845-ventura-blvd.html,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,817,4.3,False,True,2026-01-31,34.1533329,-118.4565586,ChIJWyGtBcSXwoARHdCOa4Co3vU
Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007, USA",Los Angeles,CA,(323) 732-3863,https://www.ralphs.com/stores/grocery/ca/los-angeles/renaissance-plaza/703/00294?cid=loc_70300294_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,2819,4.3,True,False,2026-01-31,34.0318453,-118.2907927,ChIJE1TNSvLHwoARNK8JeIKSP4k
Pavilions,"3100 W Balboa Blvd, Newport Beach, CA 92663, USA",Los Angeles,CA,(949) 675-2395,https://local.pavilions.com/ca/newport-beach/3100-w-balboa-blvd.html,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1074,4.3,True,True,2026-01-31,33.6146866,-117.9310844,ChIJCYFX6wMg3YARcgQnLvpi1eM
Trader Joe's,"3745 N Lincoln Ave, Chicago, IL 60613, USA",Chicago,IL,(773) 248-4920,https://locations.traderjoes.com/il/chicago/688/?utm_source=gmb&utm_medium=organic&utm_campaign=local,"establishment,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store,supermarket",100,Critical,2721,4.6,True,True,2026-01-31,41.9498851,-87.67514039999999,ChIJGzaZMkLSD4gRdbkdpeLGPuc
Stop & Shop,"801 Newark Ave, Elizabeth, NJ 07208, USA",New York,NY,(908) 436-1344,https://stores.stopandshop.com/nj/elizabeth/801-newark-avenue?y_source=1_NDE5NTgxNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"establishment,food,grocery_or_supermarket,point_of_interest,store",100,Critical,2814,4.2,False,True,2026-01-31,40.6817039,-74.2063326,ChIJnZiNwrBSwokR3anUMixPDBQ
CTown Supermarkets,"100 Hugh J. Grant Cir, Bronx, NY 10472, USA",New York,NY,(718) 823-7685,https://locations.ctownsupermarkets.com/ctown-supermarkets-c971099c8520?utm_source=Google&utm_medium=organic&utm_campaign=Yext,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,902,4.0,True,False,2026-01-31,40.8323974,-73.86086569999999,ChIJcUQNQsH0wokRwjtz8Pb6svY
ShopRite of Lodi,"175 Main St, Lodi, NJ 07644, USA",New York,NY,(973) 365-2287,https://www.shoprite.com/?utm_source=GMB&utm_medium=Local_Search&utm_campaign=dbaPlatform&utm_term=122,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2566,4.2,False,True,2026-01-31,40.8790996,-74.084924,ChIJe8WIW3r5wokR1cBGvg6Rkgo
Fine Fare Supermarkets,"1221 Fteley Ave, Bronx, NY 10472, USA",New York,NY,(718) 893-0457,https://www.finefaresupermarkets.com/,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1431,4.0,False,True,2026-01-31,40.8296674,-73.8721869,ChIJx-xaSu_0wokRq0_4u9273lk
"ShopRite of Aberdeen, NJ","318 Lloyd Rd, Aberdeen Township, NJ 07747, USA",New York,NY,(732) 566-9111,https://www.shoprite.com/?utm_source=GMB&utm_medium=Local_Search&utm_campaign=dbaPlatform&utm_term=613,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1541,4.3,True,False,2026-01-31,40.3952192,-74.2216226,ChIJo3ZRa9TMw4kRW_ctOZhW9JU
